0 	288.15
0.00217143 	288.508
0.00434286 	288.862
0.00651429 	289.195
0.00868571 	289.479
0.0108571 	289.697
0.0130286 	289.85
0.0152 	289.951
0.0173714 	290.017
0.0195429 	290.059
0.0217143 	290.083
0.0238857 	290.092
0.0260571 	290.089
0.0282286 	290.074
0.0304 	290.047
0.0325714 	290.009
0.0347429 	289.959
0.0369143 	289.896
0.0390857 	289.817
0.0412571 	289.72
0.0434286 	289.603
0.0456 	289.468
0.0477714 	289.314
0.0499429 	289.139
0.0521143 	288.944
0.0542857 	288.727
0.0564571 	288.484
0.0586286 	288.211
0.0608 	287.902
0.0629714 	287.548
0.0651429 	287.118
0.0673143 	286.533
0.0694857 	285.622
0.0716571 	284.164
0.0738286 	282.214
0.076 	280.071
