0 	0 	0 	0
0.00217143 	0.000195749 	0.0395867 	-0.000435924
0.00434286 	0.000371646 	0.0640928 	-0.000692402
0.00651429 	0.000491061 	0.0763719 	-0.000784728
0.00868571 	0.000543514 	0.0795211 	-0.000699368
0.0108571 	0.00051815 	0.0769678 	-0.000423599
0.0130286 	0.00045004 	0.0719722 	7.45708e-06
0.0152 	0.000375626 	0.0666925 	0.000495671
0.0173714 	0.000307216 	0.0619803 	0.000954904
0.0195429 	0.000247164 	0.0579824 	0.00134506
0.0217143 	0.000194975 	0.054588 	0.00165249
0.0238857 	0.000148967 	0.0516225 	0.00187862
0.0260571 	0.000106576 	0.0489109 	0.00203229
0.0282286 	6.53678e-05 	0.0462914 	0.00212537
0.0304 	2.33541e-05 	0.0436148 	0.00217039
0.0325714 	-2.06687e-05 	0.0407435 	0.00217947
0.0347429 	-6.70733e-05 	0.0375533 	0.00216386
0.0369143 	-0.000115422 	0.0339408 	0.00213368
0.0390857 	-0.000164615 	0.0298243 	0.00209766
0.0412571 	-0.000213442 	0.025134 	0.0020627
0.0434286 	-0.000259539 	0.0197999 	0.00203363
0.0456 	-0.000298851 	0.0136646 	0.0020129
0.0477714 	-0.000326279 	0.0064612 	0.00200104
0.0499429 	-0.000336671 	-0.00204089 	0.0019976
0.0521143 	-0.000327948 	-0.0118966 	0.00199908
0.0542857 	-0.00030228 	-0.0230481 	0.00199894
0.0564571 	-0.000263961 	-0.0354455 	0.00198884
0.0586286 	-0.000217935 	-0.0490497 	0.00195822
0.0608 	-0.00016975 	-0.0638192 	0.00189501
0.0629714 	-0.00012598 	-0.0796794 	0.00178678
0.0651429 	-9.19906e-05 	-0.0965415 	0.00162214
0.0673143 	-6.8822e-05 	-0.114379 	0.00138306
0.0694857 	-5.16409e-05 	-0.131002 	0.00104291
0.0716571 	-3.37539e-05 	-0.133895 	0.00062065
0.0738286 	-1.36775e-05 	-0.0988591 	0.000226493
0.076 	0 	0 	0
