0 	288.15
0.00217143 	288.089
0.00434286 	288.027
0.00651429 	287.967
0.00868571 	287.917
0.0108571 	287.884
0.0130286 	287.877
0.0152 	287.899
0.0173714 	287.945
0.0195429 	288.006
0.0217143 	288.073
0.0238857 	288.143
0.0260571 	288.211
0.0282286 	288.277
0.0304 	288.337
0.0325714 	288.389
0.0347429 	288.43
0.0369143 	288.457
0.0390857 	288.469
0.0412571 	288.463
0.0434286 	288.439
0.0456 	288.393
0.0477714 	288.325
0.0499429 	288.233
0.0521143 	288.116
0.0542857 	287.968
0.0564571 	287.786
0.0586286 	287.563
0.0608 	287.292
0.0629714 	286.957
0.0651429 	286.523
0.0673143 	285.905
0.0694857 	284.937
0.0716571 	283.452
0.0738286 	281.531
0.076 	279.41
