0 	288.15
0.00217143 	288.499
0.00434286 	288.845
0.00651429 	289.173
0.00868571 	289.457
0.0108571 	289.678
0.0130286 	289.839
0.0152 	289.95
0.0173714 	290.026
0.0195429 	290.077
0.0217143 	290.108
0.0238857 	290.125
0.0260571 	290.129
0.0282286 	290.122
0.0304 	290.103
0.0325714 	290.073
0.0347429 	290.031
0.0369143 	289.977
0.0390857 	289.911
0.0412571 	289.827
0.0434286 	289.725
0.0456 	289.601
0.0477714 	289.457
0.0499429 	289.29
0.0521143 	289.102
0.0542857 	288.891
0.0564571 	288.653
0.0586286 	288.383
0.0608 	288.076
0.0629714 	287.72
0.0651429 	287.287
0.0673143 	286.701
0.0694857 	285.795
0.0716571 	284.347
0.0738286 	282.41
0.076 	280.272
